player,exception_score,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,best_legacy_window,included
Chris Childs,43.44,elite individual peak,57.8,54.0,55.8,False
DeMarre Carroll,43.41,elite individual peak,54.6,49.3,51.0,False
Mario Elie,43.32,elite individual peak,56.0,50.3,52.7,False
Kentavious Caldwell-Pope,43.31,elite individual peak,47.7,44.3,46.0,False
Kelly Olynyk,43.28,elite individual peak,56.1,51.4,53.2,False
Rick Fox,43.24,elite individual peak,49.8,49.1,50.6,False
Sam Bowie,43.23,elite individual peak,57.0,48.3,49.5,False
Andrew Lang,43.22,elite individual peak,52.5,52.0,53.9,False
Onyeka Okongwu,43.22,elite individual peak,59.0,53.8,54.8,False
Malik Rose,43.21,elite individual peak,55.8,53.4,55.6,False
Chandler Parsons,43.2,elite individual peak,54.2,52.4,53.5,False
Elvin Hayes,43.19,elite individual peak,55.9,51.4,52.7,False
Gerald Wilkins,43.18,elite individual peak,52.0,47.4,49.2,False
Kenny Thomas,43.14,elite individual peak,53.2,51.6,52.9,False
Michael Porter Jr.,43.13,elite individual peak,59.4,50.8,52.6,False
Elfrid Payton,43.1,elite individual peak,55.4,52.6,53.5,False
Alvin Williams,43.08,elite individual peak,55.5,54.1,55.9,False
George Lynch,43.08,elite individual peak,52.1,51.4,53.9,False
Isaiah Rider,43.02,elite individual peak,50.3,47.7,49.2,False
Bison Dele,43.01,elite individual peak,57.4,50.0,51.6,False
Dewayne Dedmon,43.01,elite individual peak,60.6,53.6,55.1,False
Eric Gordon,43.0,elite individual peak,48.8,46.0,47.8,False
Wayman Tisdale,42.95,elite individual peak,51.2,49.1,49.8,False
Tyus Jones,42.94,elite individual peak,55.1,54.2,55.9,False
Courtney Lee,42.94,elite individual peak,47.0,45.2,46.7,False
Rasho Nesterovic,42.88,elite individual peak,56.5,51.6,53.4,False
Terry Tyler,42.86,elite individual peak,52.0,50.7,51.6,False
Vernon Maxwell,42.86,elite individual peak,49.4,47.2,48.3,False
DeJuan Blair,42.86,elite individual peak,58.0,55.4,57.2,False
Loy Vaught,42.83,elite individual peak,56.1,52.4,53.6,False
Harrison Barnes,42.81,elite individual peak,47.5,46.2,47.0,False
John Salmons,42.81,elite individual peak,52.8,50.0,51.2,False
Robin Lopez,42.78,elite individual peak,58.0,52.8,54.2,False
Frank Johnson,42.77,elite individual peak,57.3,52.6,53.8,False
Will Perdue,42.66,elite individual peak,56.6,54.5,56.1,False
Mike Woodson,42.66,elite individual peak,52.5,49.3,50.1,False
Jeff Green,42.63,elite individual peak,48.8,45.1,46.5,False
Jayson Williams,42.63,elite individual peak,61.7,53.2,54.5,False
Dorian Finney-Smith,42.62,elite individual peak,50.0,46.5,48.0,False
Rich Kelley,42.61,elite individual peak,56.0,54.0,56.3,False
Greg Ostertag,42.51,elite individual peak,55.2,53.8,56.4,False
Scot Pollard,42.51,elite individual peak,57.4,55.2,57.2,False
Delon Wright,42.51,elite individual peak,54.7,52.3,53.4,False
Naz Reid,42.5,elite individual peak,55.2,53.8,56.3,False
Gary Grant,42.5,elite individual peak,58.8,53.8,54.8,False
Jeremy Lin,42.49,elite individual peak,54.8,52.2,52.9,False
Scott Wedman,42.49,elite individual peak,52.1,46.2,48.7,False
Jarred Vanderbilt,42.45,elite individual peak,57.6,55.1,56.7,False
Brian Shaw,42.44,elite individual peak,60.0,49.2,50.7,False
Vinnie Johnson,42.41,elite individual peak,52.6,49.8,52.7,False
